date,exercise,weight,units,reps
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/15/12,barbell deadlift,205,lb,2
9/17/12,power clean,135,lb,5
9/17/12,power clean,155,lb,5
9/17/12,power clean,175,lb,3
9/17/12,power clean,185,lb,1
9/17/12,power clean,200,lb,1
9/17/12,power clean,205,lb,1
9/18/12,snatch,85,lb,5
9/18/12,snatch,85,lb,5
9/18/12,snatch,85,lb,5
9/18/12,snatch,85,lb,5
9/22/12,snatch,115,lb,6
9/22/12,snatch,115,lb,6
9/22/12,snatch,115,lb,6
9/22/12,snatch,115,lb,6
9/23/12,barbell deadlift,275,lb,3
9/23/12,barbell deadlift,275,lb,3
9/23/12,barbell deadlift,275,lb,3
9/23/12,barbell deadlift,275,lb,3
9/23/12,barbell deadlift,275,lb,3
9/23/12,barbell deadlift,275,lb,3
9/28/12,barbell squat,135,lb,21
9/28/12,barbell squat,135,lb,16
9/28/12,barbell squat,135,lb,9
9/28/12,barbell squat,145,lb,3
9/28/12,barbell squat,145,lb,3
9/28/12,barbell squat,175,lb,3
9/28/12,barbell squat,175,lb,3
9/28/12,barbell squat,195,lb,3
9/28/12,barbell squat,165,lb,5
9/28/12,barbell squat,165,lb,5
9/28/12,barbell squat,165,lb,5
9/28/12,barbell squat,165,lb,5
9/28/12,barbell squat,165,lb,5
9/29/12,clean,165,lb,5
10/4/12,barbell squat,135,lb,5
10/4/12,barbell squat,185,lb,5
10/4/12,barbell squat,185,lb,5
10/4/12,barbell squat,185,lb,5
10/4/12,clean,155,lb,3
10/4/12,clean,155,lb,3
10/4/12,clean,155,lb,3
10/8/12,barbell squat,195,lb,8
10/8/12,barbell squat,195,lb,8
10/8/12,barbell squat,195,lb,8
10/8/12,barbell squat,135,lb,5
10/8/12,barbell squat,135,lb,5
10/9/12,barbell squat,135,lb,5
10/9/12,barbell squat,185,lb,10
10/9/12,barbell squat,175,lb,10
10/9/12,barbell squat,175,lb,10
10/9/12,barbell squat,175,lb,5
10/9/12,barbell squat,175,lb,5
10/9/12,barbell squat,175,lb,5
10/9/12,front barbell squat,45,lb,18
10/9/12,front barbell squat,45,lb,18
10/9/12,front barbell squat,45,lb,18
10/9/12,front barbell squat,45,lb,18
10/9/12,front barbell squat,45,lb,18
10/18/12,barbell squat,185,lb,5
10/18/12,barbell squat,185,lb,5
10/18/12,barbell squat,185,lb,5
10/18/12,barbell squat,185,lb,5
10/18/12,barbell squat,185,lb,5
10/22/12,barbell squat,135,lb,5
10/22/12,barbell squat,185,lb,5
10/22/12,barbell squat,225,lb,2
10/22/12,barbell squat,225,lb,2
10/22/12,barbell squat,225,lb,2
10/22/12,barbell squat,225,lb,2
10/22/12,barbell squat,225,lb,2
10/23/12,barbell deadlift,155,lb,5
10/23/12,barbell deadlift,155,lb,5
10/23/12,barbell deadlift,155,lb,5
10/23/12,barbell deadlift,155,lb,5
10/23/12,barbell deadlift,155,lb,5
10/23/12,barbell squat,135,lb,5
10/23/12,barbell squat,185,lb,2
10/23/12,barbell squat,225,lb,1
10/23/12,barbell squat,235,lb,1
10/23/12,barbell squat,245,lb,1
10/23/12,barbell squat,255,lb,1
10/23/12,barbell squat,265,lb,1
10/23/12,barbell squat,275,lb,1
10/23/12,clean,135,lb,2
10/23/12,clean,135,lb,2
10/23/12,clean,135,lb,2
10/23/12,clean,135,lb,2
10/23/12,clean,135,lb,2
10/27/12,barbell squat,225,lb,2
10/27/12,barbell squat,225,lb,2
10/27/12,barbell squat,225,lb,2
10/27/12,barbell squat,225,lb,2
10/27/12,clean,135,lb,3
10/27/12,clean,165,lb,3
10/27/12,clean,175,lb,3
10/27/12,clean,185,lb,3
10/28/12,power clean,115,lb,7
10/28/12,power clean,135,lb,5
10/28/12,power clean,155,lb,3
10/28/12,power clean,165,lb,3
10/28/12,power clean,165,lb,3
10/28/12,power clean,165,lb,2
10/28/12,front barbell squat,115,lb,7
10/28/12,front barbell squat,135,lb,5
10/28/12,front barbell squat,155,lb,3
10/28/12,front barbell squat,165,lb,3
10/28/12,front barbell squat,165,lb,3
10/28/12,front barbell squat,165,lb,2
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,barbell squat,205,lb,3
10/29/12,clean,165,lb,2
10/29/12,clean,165,lb,1
10/29/12,clean,165,lb,1
10/29/12,clean,135,lb,1
10/29/12,clean,155,lb,1
10/29/12,front barbell squat,155,lb,5
10/29/12,front barbell squat,155,lb,5
10/29/12,front barbell squat,135,lb,5
10/29/12,front barbell squat,135,lb,5
10/29/12,front barbell squat,135,lb,5
10/29/12,front barbell squat,135,lb,5
10/29/12,front barbell squat,135,lb,5
10/30/12,power clean,135,lb,3
10/30/12,power clean,165,lb,2
10/30/12,power clean,175,lb,1
10/30/12,power clean,185,lb,1
10/30/12,power clean,195,lb,1
10/31/12,barbell squat,135,lb,5
10/31/12,barbell squat,205,lb,5
10/31/12,barbell squat,225,lb,5
10/31/12,barbell squat,225,lb,5
10/31/12,barbell squat,225,lb,5
10/31/12,barbell squat,225,lb,5
10/31/12,clean,135,lb,5
10/31/12,clean,165,lb,2
10/31/12,clean,175,lb,2
10/31/12,clean,135,lb,3
10/31/12,clean,145,lb,3
10/31/12,clean,165,lb,2
11/1/12,power clean,135,lb,3
11/1/12,power clean,135,lb,3
11/1/12,power clean,135,lb,3
11/1/12,power clean,155,lb,3
11/1/12,power clean,155,lb,3
11/1/12,power clean,155,lb,3
11/1/12,power clean,165,lb,3
11/1/12,power clean,165,lb,3
11/1/12,power clean,155,lb,1
11/1/12,power clean,155,lb,1
11/1/12,power clean,155,lb,1
11/1/12,power clean,155,lb,1
11/2/12,front barbell squat,155,lb,10
11/2/12,front barbell squat,155,lb,6
11/2/12,front barbell squat,155,lb,6
11/2/12,front barbell squat,155,lb,6
11/2/12,front barbell squat,155,lb,6
11/2/12,front barbell squat,155,lb,10
11/2/12,front barbell squat,155,lb,6
