"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Power Clean",2012-11-27,110,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2012-11-27,111,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2012-11-27,112,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2013-01-16,201,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2013-01-16,202,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2013-01-16,203,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2013-01-16,204,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2013-01-16,205,155,,1,,"155 lb || 1 reps","31"
"Power Clean",2013-03-01,101,135,,3,,"135 lb || 3 reps","39"
"Power Clean",2013-03-01,102,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-01,103,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-01,104,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-01,105,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-20,401,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-20,402,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-20,403,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-20,404,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-20,405,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-26,201,155,,5,,"155 lb || 5 reps","56"
"Power Clean",2013-03-26,202,155,,5,,"155 lb || 5 reps","56"
"Power Clean",2013-03-26,203,155,,5,,"155 lb || 5 reps","56"
"Power Clean",2013-03-26,204,155,,5,,"155 lb || 5 reps","56"
"Power Clean",2013-03-26,205,155,,5,,"155 lb || 5 reps","56"
"Power Clean",2013-03-28,401,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,402,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,403,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,404,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,405,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,406,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,407,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,408,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,409,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-28,410,155,,3,,"155 lb || 3 reps","45"
"Power Clean",2013-03-29,101,145,,3,,"145 lb || 3 reps","42"
"Power Clean",2013-03-29,102,145,,3,,"145 lb || 3 reps","42"
"Power Clean",2013-03-29,103,145,,3,,"145 lb || 3 reps","42"
"Power Clean",2013-03-29,104,145,,3,,"145 lb || 3 reps","42"
"Power Clean",2013-04-20,501,145,,2,,"145 lb || 2 reps","35"
"Power Clean",2013-04-20,502,165,,2,,"165 lb || 2 reps","41"
"Power Clean",2013-04-20,503,185,,1,,"185 lb || 1 reps","38"
"Power Clean",2013-04-20,504,205,,1,,"205 lb || 1 reps","43"
"Power Clean",2013-04-20,505,215,,1,,"215 lb || 1 reps","46"
"Power Clean",2013-04-20,506,225,,1,,"225 lb || 1 reps","49"
"Power Clean",2013-06-10,101,195,,1,,"195 lb || 1 reps","57"
"Power Clean",2013-06-10,102,205,,1,,"205 lb || 1 reps","60"
"Power Clean",2013-06-10,103,205,,1,,"205 lb || 1 reps","60"
"Power Clean",2013-08-11,201,135,,3,,"135 lb || 3 reps","55"
"Power Clean",2013-08-11,202,135,,3,,"135 lb || 3 reps","55"
"Power Clean",2013-08-11,203,165,,3,,"165 lb || 3 reps","68"
"Power Clean",2013-08-11,204,165,,3,,"165 lb || 3 reps","68"
"Power Clean",2013-08-11,205,195,,5,,"195 lb || 5 reps","103"
"Power Clean",2013-08-11,206,215,,3,,"215 lb || 3 reps","95"
"Power Clean",2013-08-11,207,215,,3,,"215 lb || 3 reps","95"
"Power Clean",2013-08-11,208,215,,3,,"215 lb || 3 reps","95"
"Power Clean",2013-08-11,209,215,,3,,"215 lb || 3 reps","95"
"Power Clean",2013-08-11,210,215,,3,,"215 lb || 3 reps","95"
"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Snatch",2012-08-28,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2012-08-28,2,105,,2,,"105 lb || 2 reps","50"
"Snatch",2012-08-28,3,115,,1,,"115 lb || 1 reps","43"
"Snatch",2012-08-28,4,120,,1,,"120 lb || 1 reps","45"
"Snatch",2012-08-28,5,115,,1,,"115 lb || 1 reps","43"
"Snatch",2012-08-28,6,120,,1,,"120 lb || 1 reps","45"
"Snatch",2012-08-28,7,125,,1,,"125 lb || 1 reps","46"
"Snatch",2012-08-28,8,130,,2,,"130 lb || 2 reps","59"
"Snatch",2012-09-04,101,95,,3,,"95 lb || 3 reps","55"
"Snatch",2012-09-04,102,105,,2,,"105 lb || 2 reps","50"
"Snatch",2012-09-04,103,115,,1,,"115 lb || 1 reps","43"
"Snatch",2012-09-04,104,105,,3,,"105 lb || 3 reps","59"
"Snatch",2012-09-04,105,115,,2,,"115 lb || 2 reps","53"
"Snatch",2012-09-04,106,120,,1,,"120 lb || 1 reps","45"
"Snatch",2012-09-11,1,95,,5,,"95 lb || 5 reps","69"
"Snatch",2012-09-11,2,115,,3,,"115 lb || 3 reps","63"
"Snatch",2012-09-11,3,125,,1,,"125 lb || 1 reps","46"
"Snatch",2012-09-11,4,135,,1,,"135 lb || 1 reps","49"
"Snatch",2012-09-11,5,145,,1,,"145 lb || 1 reps","53"
"Snatch",2012-09-11,6,155,,1,,"155 lb || 1 reps","57"
"Snatch",2012-09-11,7,155,,1,,"155 lb || 1 reps","57"
"Snatch",2012-09-11,8,155,,1,,"155 lb || 1 reps","57"
"Snatch",2012-09-18,201,85,,5,,"85 lb || 5 reps","64"
"Snatch",2012-09-18,202,85,,5,,"85 lb || 5 reps","64"
"Snatch",2012-09-18,203,85,,5,,"85 lb || 5 reps","64"
"Snatch",2012-09-18,204,85,,5,,"85 lb || 5 reps","64"
"Snatch",2012-09-22,101,115,,6,,"115 lb || 6 reps","84"
"Snatch",2012-09-22,102,115,,6,,"115 lb || 6 reps","84"
"Snatch",2012-09-22,103,115,,6,,"115 lb || 6 reps","84"
"Snatch",2012-09-22,104,115,,6,,"115 lb || 6 reps","84"
"Snatch",2013-03-10,1,75,,10,,"75 lb || 10 reps","71"
"Snatch",2013-03-10,2,75,,10,,"75 lb || 10 reps","71"
"Snatch",2013-03-10,3,75,,10,,"75 lb || 10 reps","71"
"Snatch",2013-03-10,4,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-03-20,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-03-20,2,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-03-20,3,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-03-20,4,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-03-20,5,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-03-20,6,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-04-02,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-04-02,2,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-04-02,3,105,,3,,"105 lb || 3 reps","59"
"Snatch",2013-04-02,4,105,,3,,"105 lb || 3 reps","59"
"Snatch",2013-04-15,401,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-04-15,402,125,,1,,"125 lb || 1 reps","46"
"Snatch",2013-04-15,403,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-04-15,404,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-04-15,405,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-04-22,401,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-04-22,402,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-04-22,403,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-04-30,101,95,,5,,"95 lb || 5 reps","69"
"Snatch",2013-04-30,102,95,,5,,"95 lb || 5 reps","69"
"Snatch",2013-04-30,103,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-04-30,104,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-04-30,105,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-04-30,106,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-05-08,101,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-05-08,102,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-05-08,103,115,,2,,"115 lb || 2 reps","53"
"Snatch",2013-05-08,104,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-05-08,105,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-05-11,201,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-05-11,202,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-05-11,203,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-05-11,204,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-05-11,205,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-05-11,206,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-05-11,207,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-05-11,208,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-05-11,209,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-05-18,101,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-05-18,102,145,,2,,"145 lb || 2 reps","65"
"Snatch",2013-05-18,201,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-05-18,202,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-05-18,203,105,,3,,"105 lb || 3 reps","59"
"Snatch",2013-05-18,204,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-05-18,205,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-05-18,206,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-05-18,207,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-05-18,208,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-05-18,209,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-05-18,210,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-05-18,211,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-05-18,212,175,,1,,"175 lb || 1 reps","65"
"Snatch",2013-07-02,301,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-07-02,302,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-07-02,303,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-07-02,304,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-07-02,305,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-07-02,306,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-07-02,307,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-07-02,308,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-07-02,309,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-08-22,101,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,102,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,103,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,104,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,105,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,106,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,107,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,108,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,109,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-08-22,110,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-09-03,301,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-09-03,302,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-09-03,303,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-09-03,304,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-09-03,305,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-09-03,306,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-09-03,307,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-09-03,308,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-09-03,309,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-09-03,310,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-09-05,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-09-05,2,115,,2,,"115 lb || 2 reps","53"
"Snatch",2013-09-05,3,115,,2,,"115 lb || 2 reps","53"
"Snatch",2013-09-05,4,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-09-05,5,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-09-05,6,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-09-05,7,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-09-05,8,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-09-05,9,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-09-05,10,170,,1,,"170 lb || 1 reps","63"
"Snatch",2013-09-05,11,175,,1,,"175 lb || 1 reps","65"
"Snatch",2013-09-08,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-09-08,2,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-09-08,3,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-09-08,4,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-09-08,5,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-09-08,6,145,,3,,"145 lb || 3 reps","78"
"Snatch",2013-09-08,7,145,,3,,"145 lb || 3 reps","78"
"Snatch",2013-09-08,8,165,,2,,"165 lb || 2 reps","75"
"Snatch",2013-09-08,9,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-09-08,10,175,,1,,"175 lb || 1 reps","65"
"Snatch",2013-09-08,11,185,,1,,"185 lb || 1 reps","69"
"Snatch",2013-10-06,401,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-10-06,402,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-10-06,403,115,,2,,"115 lb || 2 reps","53"
"Snatch",2013-10-06,404,115,,2,,"115 lb || 2 reps","53"
"Snatch",2013-10-06,405,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-10-06,406,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-10-06,407,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-10-06,408,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-10-06,409,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-10-13,301,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-10-13,302,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-10-13,303,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-10-13,304,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-10-13,305,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-17,1,95,,1,,"95 lb || 1 reps","38"
"Snatch",2013-11-17,2,105,,1,,"105 lb || 1 reps","40"
"Snatch",2013-11-17,3,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-11-17,4,125,,1,,"125 lb || 1 reps","46"
"Snatch",2013-11-17,5,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-11-17,6,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-11-17,7,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-11-17,8,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-11-17,9,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-17,10,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-17,11,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-17,12,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-17,13,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-17,14,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-17,15,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-11-17,16,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-11-17,17,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-11-17,18,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-11-17,19,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-11-17,20,175,,1,,"175 lb || 1 reps","65"
"Snatch",2013-11-24,8,95,,2,,"95 lb || 2 reps","47"
"Snatch",2013-11-24,9,115,,2,,"115 lb || 2 reps","53"
"Snatch",2013-11-24,10,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-11-24,11,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-11-24,12,135,,2,,"135 lb || 2 reps","61"
"Snatch",2013-11-24,13,155,,2,,"155 lb || 2 reps","70"
"Snatch",2013-11-24,14,155,,2,,"155 lb || 2 reps","70"
"Snatch",2013-11-26,6,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-11-26,7,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-11-26,8,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-11-26,9,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-11-26,10,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-11-26,11,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-11-26,12,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-11-27,7,95,,1,,"95 lb || 1 reps","38"
"Snatch",2013-11-27,8,95,,1,,"95 lb || 1 reps","38"
"Snatch",2013-11-27,9,95,,1,,"95 lb || 1 reps","38"
"Snatch",2013-11-27,10,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-11-27,11,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-11-27,12,115,,1,,"115 lb || 1 reps","43"
"Snatch",2013-11-27,13,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-11-27,14,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-11-27,15,135,,1,,"135 lb || 1 reps","49"
"Snatch",2013-11-27,16,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-11-27,17,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-11-27,18,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-11-27,19,175,,1,,"175 lb || 1 reps","65"
"Snatch",2013-11-27,20,180,,1,,"180 lb || 1 reps","67"
"Snatch",2013-11-27,21,185,,1,,"185 lb || 1 reps","69"
"Snatch",2013-11-27,22,190,,1,,"190 lb || 1 reps","72"
"Snatch",2013-11-27,23,195,,1,,"195 lb || 1 reps","74"
"Snatch",2013-11-27,24,200,,1,,"200 lb || 1 reps","77"
"Snatch",2013-12-04,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-04,2,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-04,3,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-12-04,4,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-12-04,5,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-12-04,6,155,,2,,"155 lb || 2 reps","70"
"Snatch",2013-12-04,7,155,,2,,"155 lb || 2 reps","70"
"Snatch",2013-12-04,8,160,,2,,"160 lb || 2 reps","72"
"Snatch",2013-12-04,9,160,,2,,"160 lb || 2 reps","72"
"Snatch",2013-12-04,10,160,,2,,"160 lb || 2 reps","72"
"Snatch",2013-12-04,11,160,,2,,"160 lb || 2 reps","72"
"Snatch",2013-12-08,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-08,2,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-08,3,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-12-08,4,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-12-08,5,145,,1,,"145 lb || 1 reps","53"
"Snatch",2013-12-08,6,155,,1,,"155 lb || 1 reps","57"
"Snatch",2013-12-08,7,165,,1,,"165 lb || 1 reps","61"
"Snatch",2013-12-08,8,175,,1,,"175 lb || 1 reps","65"
"Snatch",2013-12-08,9,180,,1,,"180 lb || 1 reps","67"
"Snatch",2013-12-09,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-09,2,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-09,3,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-12-09,4,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-12-09,5,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-12-09,6,155,,2,,"155 lb || 2 reps","70"
"Snatch",2013-12-09,7,155,,2,,"155 lb || 2 reps","70"
"Snatch",2013-12-09,8,165,,2,,"165 lb || 2 reps","75"
"Snatch",2013-12-09,9,165,,2,,"165 lb || 2 reps","75"
"Snatch",2013-12-09,10,165,,2,,"165 lb || 2 reps","75"
"Snatch",2013-12-09,11,165,,2,,"165 lb || 2 reps","75"
"Snatch",2013-12-14,1,40,,3,,"40 kg || 3 reps","53"
"Snatch",2013-12-14,2,40,,3,,"40 kg || 3 reps","53"
"Snatch",2013-12-14,3,40,,3,,"40 kg || 3 reps","53"
"Snatch",2013-12-14,4,60,,2,,"60 kg || 2 reps","60"
"Snatch",2013-12-14,5,60,,2,,"60 kg || 2 reps","60"
"Snatch",2013-12-14,6,45,,3,,"45 kg || 3 reps","57"
"Snatch",2013-12-14,7,45,,2,,"45 kg || 2 reps","48"
"Snatch",2013-12-14,8,65,,1,,"65 kg || 1 reps","52"
"Snatch",2013-12-14,9,70,,1,,"70 kg || 1 reps","56"
"Snatch",2013-12-14,10,80,,1,,"80 kg || 1 reps","65"
"Snatch",2013-12-14,11,79,,1,,"79 kg || 1 reps","64"
"Snatch",2013-12-14,12,85,,1,,"85 kg || 1 reps","70"
"Snatch",2013-12-17,1,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-17,2,95,,3,,"95 lb || 3 reps","55"
"Snatch",2013-12-17,3,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-12-17,4,115,,3,,"115 lb || 3 reps","63"
"Snatch",2013-12-17,5,135,,3,,"135 lb || 3 reps","73"
"Snatch",2013-12-17,6,165,,2,,"165 lb || 2 reps","75"
"Snatch",2013-12-17,7,165,,2,,"165 lb || 2 reps","75"
"Snatch",2013-12-17,8,170,,2,,"170 lb || 2 reps","77"
"Snatch",2013-12-17,9,175,,1,,"175 lb || 1 reps","65"
"Snatch",2013-12-17,10,180,,1,,"180 lb || 1 reps","67"
"Snatch",2014-01-08,1,50,,4,,"50 kg || 4 reps","70"
"Snatch",2014-01-08,2,50,,5,,"50 kg || 5 reps","76"
"Snatch",2014-01-08,3,60,,4,,"60 kg || 4 reps","81"
"Snatch",2014-01-08,4,60,,3,,"60 kg || 3 reps","71"
"Snatch",2014-01-08,5,60,,2,,"60 kg || 2 reps","60"
"Snatch",2014-02-04,13,60,,4,,"60 kg || 4 reps","81"
"Snatch",2014-02-04,14,60,,4,,"60 kg || 4 reps","81"
"Snatch",2014-02-04,15,70,,3,,"70 kg || 3 reps","83"
"Snatch",2014-02-04,16,75,,2,,"75 kg || 2 reps","75"
"Snatch",2014-02-04,17,80,,1,,"80 kg || 1 reps","65"
"Snatch",2014-02-04,18,85,,1,,"85 kg || 1 reps","70"
"Snatch",2014-04-29,13,50,,3,,"50 kg || 3 reps","61"
"Snatch",2014-04-29,14,50,,3,,"50 kg || 3 reps","61"
"Snatch",2014-04-29,15,60,,3,,"60 kg || 3 reps","71"
"Snatch",2014-04-29,16,60,,3,,"60 kg || 3 reps","71"
"Snatch",2014-04-29,17,70,,2,,"70 kg || 2 reps","70"
"Snatch",2014-04-29,18,75,,2,,"75 kg || 2 reps","75"
"Snatch",2014-04-29,19,80,,2,,"80 kg || 2 reps","81"
"Snatch",2014-04-29,20,85,,1,,"85 kg || 1 reps","70"
"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Front Barbell Squat",2012-08-29,1401,145,,5,,"145 lb || 5 reps","70"
"Front Barbell Squat",2012-08-29,1402,145,,5,,"145 lb || 5 reps","70"
"Front Barbell Squat",2012-08-29,1403,145,,5,,"145 lb || 5 reps","70"
"Front Barbell Squat",2012-09-04,401,95,,15,,"95 lb || 15 reps","63"
"Front Barbell Squat",2012-09-04,402,95,,15,,"95 lb || 15 reps","63"
"Front Barbell Squat",2012-09-04,403,95,,15,,"95 lb || 15 reps","63"
"Front Barbell Squat",2012-09-12,601,95,,5,,"95 lb || 5 reps","50"
"Front Barbell Squat",2012-09-12,602,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-09-12,603,165,,3,,"165 lb || 3 reps","64"
"Front Barbell Squat",2012-09-12,604,175,,2,,"175 lb || 2 reps","58"
"Front Barbell Squat",2012-09-12,605,185,,2,,"185 lb || 2 reps","62"
"Front Barbell Squat",2012-09-12,606,185,,2,,"185 lb || 2 reps","62"
"Front Barbell Squat",2012-09-12,607,195,,2,,"195 lb || 2 reps","67"
"Front Barbell Squat",2012-10-09,1401,45,,18,,"45 lb || 18 reps","46"
"Front Barbell Squat",2012-10-09,1402,45,,18,,"45 lb || 18 reps","46"
"Front Barbell Squat",2012-10-09,1403,45,,18,,"45 lb || 18 reps","46"
"Front Barbell Squat",2012-10-09,1404,45,,18,,"45 lb || 18 reps","46"
"Front Barbell Squat",2012-10-09,1405,45,,18,,"45 lb || 18 reps","46"
"Front Barbell Squat",2012-10-28,701,115,,7,,"115 lb || 7 reps","63"
"Front Barbell Squat",2012-10-28,702,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-10-28,703,155,,3,,"155 lb || 3 reps","60"
"Front Barbell Squat",2012-10-28,704,165,,3,,"165 lb || 3 reps","64"
"Front Barbell Squat",2012-10-28,705,165,,3,,"165 lb || 3 reps","64"
"Front Barbell Squat",2012-10-28,706,165,,2,,"165 lb || 2 reps","54"
"Front Barbell Squat",2012-10-29,1001,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2012-10-29,1002,155,,5,,"155 lb || 5 reps","75"
"Front Barbell Squat",2012-10-29,1003,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-10-29,1004,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-10-29,1005,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-10-29,1006,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-10-29,1007,135,,5,,"135 lb || 5 reps","66"
"Front Barbell Squat",2012-11-02,101,155,,10,,"155 lb || 10 reps","89"
"Front Barbell Squat",2012-11-02,102,155,,6,,"155 lb || 6 reps","80"
"Front Barbell Squat",2012-11-02,103,155,,6,,"155 lb || 6 reps","80"
"Front Barbell Squat",2012-11-02,104,155,,6,,"155 lb || 6 reps","80"
"Front Barbell Squat",2012-11-02,105,155,,6,,"155 lb || 6 reps","80"
"Front Barbell Squat",2012-11-02,106,155,,10,,"155 lb || 10 reps","89"
"Front Barbell Squat",2012-11-02,107,155,,6,,"155 lb || 6 reps","80"
"Front Barbell Squat",2012-11-02,108,155,,6,,"155 lb || 6 reps","80"
"Front Barbell Squat",2012-11-08,201,145,,4,,"145 lb || 4 reps","64"
"Front Barbell Squat",2012-11-08,202,145,,4,,"145 lb || 4 reps","64"
"Front Barbell Squat",2012-11-08,203,145,,4,,"145 lb || 4 reps","64"
"Front Barbell Squat",2012-11-08,204,145,,4,,"145 lb || 4 reps","64"
"Front Barbell Squat",2012-11-08,205,145,,4,,"145 lb || 4 reps","64"
"Front Barbell Squat",2012-11-08,206,145,,4,,"145 lb || 4 reps","64"
"Front Barbell Squat",2012-11-27,301,155,,1,,"155 lb || 1 reps","41"
